序号,基金代码,基金简称,期间涨幅,期间分红(元/份),分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,手续费
196,011148,南方军工改革灵活,8.51%,---,0,2021-10-18,1.5151,1.5151,2022-10-17,1.6441,1.6441,2021-01-15,0.00%
197,004888,财通资管鑫逸混合,8.50%,---,0,2021-10-18,1.3830,1.3830,2022-10-17,1.5006,1.5006,2017-08-30,0.12%
198,006147,宝盈融源可转债债,8.47%,---,0,2021-10-18,1.1955,1.1955,2022-10-17,1.2968,1.2968,2019-09-04,0.08%
199,005505,前海开源中药股票,8.46%,---,0,2021-10-18,1.9247,1.9247,2022-10-17,2.0875,2.0875,2018-03-21,0.15%
200,014015,招商臻选平衡混合,8.43%,---,0,2022-01-05,1.0000,1.0000,2022-10-17,1.0843,1.0843,2022-01-05,0.00%
201,014605,嘉实中证光伏产业,8.41%,---,0,2022-01-25,1.0000,1.0000,2022-10-17,1.0841,1.0841,2022-01-25,0.00%
202,003697,华夏睿磐泰盛混合,8.34%,---,0,2021-10-18,1.2102,1.2102,2022-10-17,1.3111,1.3111,2017-03-15,0.06%
203,015211,招商安鼎平衡1年,8.31%,---,0,2022-03-21,1.0000,1.0000,2022-10-17,1.0831,1.0831,2022-03-21,0.12%
204,016073,创金合信软件产业,8.30%,---,0,2022-09-29,1.0000,1.0000,2022-10-17,1.0830,1.0830,2022-09-29,0.15%
205,004889,财通资管鑫逸混合,8.28%,---,0,2021-10-18,1.3707,1.3707,2022-10-17,1.4842,1.4842,2017-08-30,0.12%
206,016074,创金合信软件产业,8.27%,---,0,2022-09-29,1.0000,1.0000,2022-10-17,1.0827,1.0827,2022-09-29,0.00%
207,159945,广发中证全指能源,8.22%,---,0,2021-10-18,0.9575,0.9575,2022-10-17,1.0362,1.0362,2015-06-25,--
208,009466,东方可转债债券C,8.19%,0.0400,1,2021-10-18,1.0354,1.0354,2022-10-17,1.0786,1.1186,2021-03-04,0.00%
209,005506,前海开源中药股票,8.19%,---,0,2021-10-18,1.9130,1.9130,2022-10-17,2.0696,2.0696,2018-03-21,0.00%
210,002820,招商丰美混合C,8.17%,0.1280,2,2021-10-18,1.3570,1.5020,2022-10-17,1.3350,1.6080,2016-11-10,0.15%
211,006148,宝盈融源可转债债,8.15%,---,0,2021-10-18,1.1879,1.1879,2022-10-17,1.2847,1.2847,2019-09-04,0.00%
212,001832,易方达瑞恒灵活配,8.12%,---,0,2021-10-18,2.3880,2.3880,2022-10-17,2.5820,2.5820,2018-01-10,0.06%
213,006889,平安惠鸿纯债债券,8.11%,0.0330,1,2021-10-18,1.0373,1.0743,2022-10-17,1.0858,1.1558,2019-01-31,0.08%
214,519702,交银趋势混合A,8.10%,0.2830,1,2021-10-18,4.3245,4.8245,2022-10-17,4.3968,5.1798,2010-12-22,0.15%
215,004366,博时汇享纯债债券,8.02%,---,0,2021-10-18,1.0220,1.1153,2022-10-17,1.1040,1.1973,2017-02-28,0.08%
216,002819,招商丰美混合A,8.02%,0.1270,2,2021-10-18,1.3560,1.5120,2022-10-17,1.3330,1.6160,2016-11-10,0.15%
217,001446,招商丰泽混合C,8.02%,---,0,2021-10-18,1.5340,1.5340,2022-10-17,1.6570,1.6570,2015-06-11,0.15%
218,519019,大成景阳领先混合,8.00%,0.2259,1,2021-10-18,1.0720,4.7370,2022-10-17,0.9060,4.7970,2007-12-11,0.15%
219,012724,国泰中证畜牧养殖,7.98%,---,0,2021-10-18,0.9703,0.9703,2022-10-17,1.0477,1.0477,2021-07-02,0.10%
220,012413,建信睿怡纯债C,7.97%,0.1470,3,2021-10-18,1.1388,1.1388,2022-10-17,1.0785,1.2255,2021-05-21,--
221,161614,融通四季添利债券,7.93%,0.0600,3,2021-10-18,1.0470,1.5050,2022-10-17,1.0680,1.5860,2012-03-01,0.08%
222,012431,国投瑞银安泰混合,7.91%,---,0,2022-01-25,1.0000,1.0000,2022-10-17,1.0791,1.0791,2022-01-25,0.10%
223,015599,国泰国证航天军工,7.88%,---,0,2022-05-19,1.1976,1.1976,2022-10-17,1.2920,1.2920,2022-05-19,0.00%
224,015212,招商安鼎平衡1年,7.87%,---,0,2022-03-21,1.0000,1.0000,2022-10-17,1.0787,1.0787,2022-03-21,0.00%
225,000991,工银战略转型股票,7.87%,---,0,2021-10-18,3.5600,3.5600,2022-10-17,3.8400,3.8400,2015-02-16,0.15%
226,501059,西部利得国企红利,7.84%,0.0960,1,2021-10-18,1.9135,1.9135,2022-10-17,1.9698,2.0658,2018-07-11,0.12%
227,012432,国投瑞银安泰混合,7.84%,---,0,2022-01-25,1.0000,1.0000,2022-10-17,1.0784,1.0784,2022-01-25,0.00%
228,090019,大成景恒混合A,7.80%,---,0,2021-10-18,1.8840,2.5220,2022-10-17,2.0310,2.7190,2012-06-15,0.15%
229,015396,南方潜力新蓝筹混,7.79%,0.1241,1,2022-03-16,2.3775,2.3775,2022-10-17,2.3802,2.5043,2022-03-16,0.00%
230,001744,诺安进取回报混合,7.77%,---,0,2021-10-18,1.0170,1.0450,2022-10-17,1.0960,1.1240,2016-09-27,0.15%
231,015254,申万菱信消费增长,7.75%,---,0,2022-03-03,1.5480,1.5480,2022-10-17,1.6680,1.6680,2022-03-03,0.00%
232,210002,金鹰红利价值混合,7.69%,---,0,2021-10-18,1.7701,2.9681,2022-10-17,1.9063,3.1043,2008-12-04,0.15%
233,012725,国泰中证畜牧养殖,7.65%,---,0,2021-10-18,0.9695,0.9695,2022-10-17,1.0437,1.0437,2021-07-02,0.00%
234,007229,华安中债7-10,7.63%,0.0610,1,2021-10-18,1.6091,1.7291,2022-10-17,1.6707,1.8517,2019-11-13,--
235,010092,永赢华嘉信用债A,7.62%,---,0,2021-10-18,1.0382,1.0382,2022-10-17,1.1173,1.1173,2021-04-20,0.08%
236,000314,招商瑞丰灵活配置,7.61%,---,0,2021-10-18,1.7600,1.9730,2022-10-17,1.8940,2.1070,2013-11-06,0.15%
237,164403,前海开源沪港深农,7.60%,---,0,2021-10-18,1.4510,1.4710,2022-10-17,1.5613,1.5808,2015-06-04,0.15%
238,004367,博时汇享纯债债券,7.59%,---,0,2021-10-18,1.0161,1.1178,2022-10-17,1.0932,1.1949,2017-02-28,0.00%
239,002662,前海开源沪港深大,7.52%,---,0,2021-10-18,1.8740,1.8740,2022-10-17,2.0150,2.0150,2016-09-29,0.15%
240,009439,西部利得国企红利,7.52%,0.0960,1,2021-10-18,1.8759,1.8759,2022-10-17,1.9233,2.0193,2020-05-08,0.00%
241,015683,景顺长城科技创新,7.52%,---,0,2022-04-29,1.3042,1.3042,2022-10-17,1.4023,1.4023,2022-04-29,0.00%
242,006549,国金惠盈纯债A,7.52%,---,0,2021-10-18,1.0612,1.0982,2022-10-17,1.1410,1.1780,2019-04-03,0.06%
243,013594,南方7-10年国,7.50%,---,0,2021-10-18,1.1183,1.1183,2022-10-17,1.2022,1.2022,2021-09-16,--
244,014478,中加低碳经济六个,7.48%,---,0,2022-03-22,1.0000,1.0000,2022-10-17,1.0748,1.0748,2022-03-22,0.15%
245,530017,建信双息红利债券,7.48%,0.0680,2,2021-10-18,1.1120,1.7610,2022-10-17,1.1250,1.8420,2011-12-13,0.08%
246,013430,交银趋势混合C,7.47%,0.2830,1,2021-10-18,4.3218,4.3218,2022-10-17,4.3677,4.6507,2021-08-27,0.00%
247,000346,建信安心回报6个,7.46%,0.0600,2,2021-10-18,1.0127,1.4252,2022-10-17,1.0268,1.4993,2013-11-05,0.06%
248,003298,嘉实物流产业股票,7.46%,---,0,2021-10-18,2.4140,2.4140,2022-10-17,2.5940,2.5940,2016-12-29,0.15%
249,360008,光大增利收益债券,7.45%,0.2210,1,2021-10-18,1.3610,1.6620,2022-10-17,1.2320,1.7540,2008-10-29,0.10%
250,005161,华商上游产业股票,7.44%,---,0,2021-10-18,2.0631,2.0631,2022-10-17,2.2165,2.2165,2017-12-27,0.15%
15951,016065,建信智远先锋混合,---,---,0,,---,---,,---,---,2022-10-14,0.00%
15952,009460,安信禧悦稳健养老,---,---,0,,---,---,,---,---,2020-06-09,0.12%
15953,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15954,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,016065,建信智远先锋混合,---,---,0,,---,---,,---,---,2022-10-14,0.00%
15952,009460,安信禧悦稳健养老,---,---,0,,---,---,,---,---,2020-06-09,0.12%
15953,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15954,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
15951,000064,大摩18个月定开,---,0.0090,1,,---,---,,---,---,2013-06-25,0.00%
15952,007272,景顺稳健养老目标,---,---,0,,---,---,,---,---,2019-09-26,0.12%
